User_ID,Food_ID,Rating
1.0,88.0,4.0
1.0,46.0,3.0
1.0,24.0,5.0
1.0,25.0,4.0
2.0,49.0,1.0
2.0,33.0,8.0
2.0,106.0,9.0
2.0,71.0,8.0
3.0,73.0,9.0
3.0,110.0,10.0
3.0,168.0,1.0
3.0,201.0,8.0
3.0,209.0,6.0
3.0,46.0,2.0
3.0,65.0,3.0
3.0,292.0,8.0
3.0,299.0,1.0
4.0,14.0,5.0
4.0,141.0,5.0
4.0,170.0,1.0
4.0,212.0,10.0
4.0,128.0,6.0
4.0,21.0,1.0
5.0,52.0,9.0
5.0,64.0,2.0
5.0,198.0,10.0
5.0,241.0,9.0
5.0,8.0,6.0
5.0,27.0,6.0
6.0,22.0,5.0
6.0,185.0,7.0
6.0,207.0,2.0
6.0,213.0,6.0
7.0,131.0,5.0
7.0,109.0,10.0
7.0,116.0,8.0
7.0,220.0,3.0
7.0,21.0,9.0
7.0,31.0,10.0
8.0,101.0,8.0
8.0,138.0,9.0
8.0,140.0,4.0
8.0,201.0,3.0
8.0,242.0,3.0
8.0,224.0,9.0
8.0,128.0,4.0
8.0,163.0,5.0
9.0,15.0,1.0
9.0,60.0,5.0
9.0,91.0,5.0
9.0,2.0,3.0
9.0,180.0,2.0
9.0,182.0,4.0
9.0,184.0,6.0
9.0,244.0,3.0
10.0,70.0,5.0
10.0,44.0,10.0
10.0,227.0,2.0
10.0,100.0,4.0
10.0,250.0,2.0
11.0,35.0,4.0
11.0,154.0,3.0
11.0,258.0,10.0
11.0,200.0,10.0
11.0,274.0,2.0
11.0,48.0,5.0
12.0,38.0,4.0
12.0,169.0,4.0
13.0,74.0,8.0
13.0,127.0,10.0
14.0,17.0,3.0
14.0,51.0,9.0
14.0,87.0,8.0
14.0,134.0,7.0
14.0,267.0,5.0
14.0,272.0,1.0
15.0,29.0,7.0
15.0,116.0,6.0
15.0,130.0,5.0
15.0,149.0,1.0
15.0,43.0,3.0
15.0,214.0,7.0
15.0,238.0,6.0
15.0,29.0,9.0
16.0,243.0,3.0
16.0,10.0,4.0
16.0,270.0,3.0
16.0,282.0,10.0
16.0,291.0,1.0
17.0,23.0,4.0
17.0,58.0,7.0
17.0,114.0,1.0
17.0,8.0,5.0
17.0,251.0,5.0
17.0,278.0,8.0
17.0,7.0,4.0
18.0,18.0,5.0
18.0,133.0,8.0
18.0,153.0,7.0
18.0,37.0,2.0
18.0,31.0,7.0
18.0,17.0,6.0
19.0,9.0,9.0
19.0,11.0,4.0
19.0,211.0,1.0
19.0,249.0,10.0
19.0,84.0,10.0
20.0,46.0,6.0
20.0,261.0,8.0
21.0,13.0,9.0
21.0,42.0,9.0
21.0,126.0,1.0
21.0,230.0,3.0
21.0,185.0,2.0
21.0,280.0,5.0
22.0,165.0,2.0
22.0,2.0,5.0
22.0,127.0,6.0
22.0,53.0,3.0
22.0,275.0,4.0
23.0,26.0,6.0
23.0,223.0,5.0
24.0,23.0,2.0
24.0,193.0,8.0
24.0,51.0,5.0
25.0,55.0,5.0
25.0,63.0,9.0
25.0,57.0,10.0
25.0,178.0,3.0
25.0,287.0,3.0
26.0,15.0,9.0
26.0,104.0,6.0
26.0,55.0,5.0
26.0,45.0,5.0
27.0,161.0,2.0
27.0,213.0,3.0
27.0,273.0,10.0
27.0,207.0,4.0
27.0,86.0,4.0
27.0,54.0,1.0
27.0,279.0,9.0
28.0,54.0,7.0
28.0,162.0,9.0
28.0,50.0,10.0
28.0,5.0,10.0
29.0,34.0,5.0
29.0,200.0,9.0
29.0,281.0,1.0
29.0,300.0,9.0
30.0,53.0,6.0
30.0,304.0,1.0
31.0,80.0,1.0
31.0,129.0,5.0
31.0,150.0,9.0
31.0,188.0,10.0
31.0,74.0,5.0
31.0,232.0,8.0
31.0,240.0,3.0
31.0,230.0,8.0
31.0,264.0,6.0
31.0,285.0,9.0
32.0,32.0,4.0
32.0,39.0,7.0
32.0,71.0,1.0
32.0,94.0,10.0
32.0,127.0,9.0
32.0,91.0,2.0
32.0,244.0,8.0
32.0,263.0,1.0
32.0,143.0,1.0
32.0,290.0,7.0
32.0,309.0,5.0
33.0,166.0,4.0
33.0,248.0,10.0
34.0,163.0,6.0
34.0,65.0,4.0
34.0,12.0,2.0
35.0,28.0,5.0
35.0,147.0,3.0
35.0,68.0,3.0
35.0,15.0,1.0
36.0,25.0,8.0
36.0,45.0,6.0
36.0,96.0,7.0
36.0,155.0,10.0
36.0,49.0,2.0
36.0,212.0,3.0
36.0,16.0,7.0
36.0,23.0,1.0
36.0,184.0,10.0
36.0,19.0,5.0
37.0,98.0,6.0
37.0,191.0,1.0
